state	requested_width	requested_height	screen_width	screen_height
01_center	1080	1920	1080	1920
02_center_drawer_open	1080	1920	1080	1920
03_center_drawer_closed	1080	1920	1080	1920
04_galaxy_neutral	1080	1920	1080	1920
05_explore_empty	1080	1920	1080	1920
06_hangar	1080	1920	1080	1920
07_hangar_to_center	1080	1920	1080	1920
08_hangar_to_explore	1080	1920	1080	1920
09_relics_page1	1080	1920	1080	1920
10_relics_page2	1080	1920	1080	1920
11_relics_page3	1080	1920	1080	1920
12_relics_to_center	1080	1920	1080	1920
13_relics_to_explore	1080	1920	1080	1920
14_tree	1080	1920	1080	1920
15_tree_to_center	1080	1920	1080	1920
16_tree_to_explore	1080	1920	1080	1920
17_outer_rim_selected	1080	1920	1080	1920
17_outer_rim	1080	1920	1080	1920
18_metals	1080	1920	1080	1920
19_metals_return	1080	1920	1080	1920
20_debris_ring_selected	1080	1920	1080	1920
20_debris_ring	1080	1920	1080	1920
22_ancient_orbits_selected	1080	1920	1080	1920
22_ancient_orbits	1080	1920	1080	1920
24_silent_frontier_selected	1080	1920	1080	1920
24_silent_frontier	1080	1920	1080	1920
26_galaxy_ark_selected	1080	1920	1080	1920
27_ark	1080	1920	1080	1920
28_ark_investigated	1080	1920	1080	1920
29_expedition_result	1080	1920	1080	1920
30_record	1080	1920	1080	1920
31_record_to_explore	1080	1920	1080	1920
32_return_center	1080	1920	1080	1920
